SPM: alternating [p<0.01 (unc.), k=50]

Cluster 1 	23246 vox	 -51	-10	+53

Assignment based on Maximum Probability Map	Percent of Cluster volume in Area	Percent of Area activated by Cluster
BF (Ch 4)	0.0	23.7
Area Id6	0.0	2.5
DG (Hippocampus)	0.0	3.3
Area Id1 	0.0	10.0
Area hIP7 (IPS)	0.0	2.7
Area hOc4d [V3A]	0.0	1.3
CA1 (Hippocampus)	0.0	1.0
Fastigial Nucleus	0.0	15.5
Area Ig1 	0.0	6.3
Area FG3	0.0	1.0
Area Id3 	0.0	3.4
Area OP3 [VS]	0.0	3.4
Amygdala (VTM)	0.0	11.3
Area hOc6 [V6]	0.0	2.3
Amygdala (LB)	0.0	1.3
Amygdala (MF)	0.0	12.3
Area Fo2	0.0	0.6
 Interposed Nucleus	0.0	4.2
Amygdala (IF)	0.0	1.9
Area Ig2 	0.0	0.4
Amygdala (SF)	0.0	0.1
Area Id2 	0.0	0.1
Entorhinal Cortex	0.0	0.0

Probability exceedance by Area	Mean probability at Cluster location (%)	Mean probability across PMap (%)	Ratio	95% CI	95% CI
Area p32	33.0	30.5	1.08	1.07	1.10
Area hOc1 [V1]	37.8	36.5	1.04	1.02	1.05
Area hOc2 [V2]	27.0	23.0	1.17	1.16	1.19
Area TE 5	28.2	24.3	1.16	1.14	1.17
Area 6d1	27.1	22.9	1.18	1.17	1.20
Area 7A (SPL)	29.9	24.9	1.20	1.19	1.22
Area hOc3v [V3v]	27.7	24.2	1.15	1.13	1.16
Area 44	20.0	18.7	1.07	1.05	1.09
Area 3b	20.2	19.4	1.04	1.02	1.06
Area Fp2	35.5	32.9	1.08	1.06	1.10
Area 6d2	18.2	19.1	0.96	0.94	0.97
Area TE 4	23.4	22.3	1.05	1.03	1.07
Area PFt (IPL)	24.3	24.9	0.97	0.96	0.99
Area PGa (IPL)	18.9	19.1	0.99	0.97	1.01
Area Fo6	28.0	26.0	1.08	1.06	1.11
Area hOc4v [V4(v)]	26.8	25.7	1.04	1.03	1.06
Area 6mr / preSMA	26.7	24.6	1.08	1.06	1.11
Area Fo3	30.9	34.9	0.89	0.87	0.90
Area PF (IPL)	20.7	21.7	0.95	0.93	0.97
Area 45	18.8	21.7	0.87	0.85	0.88
Area p24c	20.0	19.5	1.03	1.00	1.05
Area p24ab	23.2	20.1	1.15	1.13	1.18
Area 1	19.1	20.4	0.94	0.92	0.96
Area PGp (IPL)	22.1	25.2	0.87	0.86	0.89
Area Fp1	23.6	39.5	0.60	0.58	0.61
Area 6d3	21.4	20.4	1.05	1.03	1.07
Area 2	16.2	17.7	0.92	0.90	0.94
Area OP1 [SII]	20.1	18.9	1.06	1.04	1.08
Area PFm (IPL)	16.8	24.0	0.70	0.69	0.71
Area PFop (IPL)	20.6	16.1	1.27	1.24	1.31
Area PFcm (IPL)	21.1	18.9	1.11	1.09	1.14
Area FG4	24.5	24.6	1.00	0.97	1.02
Area 7PC (SPL)	18.5	18.1	1.02	1.00	1.04
Area 4a	13.8	18.6	0.74	0.73	0.76
Area Fo7	20.5	20.0	1.02	1.00	1.06
Area FG2	22.3	19.8	1.12	1.09	1.15
Area hOc4lp	24.4	25.3	0.96	0.94	0.98
Area TE 3	14.2	24.2	0.59	0.57	0.60
Area 6mc / SMA	19.3	18.1	1.07	1.04	1.09
Area hIP3 (IPS)	14.9	18.0	0.83	0.81	0.85
Area hIP1 (IPS)	16.8	19.1	0.88	0.86	0.90
Area hIP5 (IPS)	27.7	21.7	1.27	1.24	1.30
Area 5M (SPL)	22.9	21.2	1.08	1.05	1.11
Area s32	19.6	20.5	0.96	0.93	0.99
Area Fo4	22.3	22.6	0.98	0.95	1.01
Area hIP2 (IPS)	16.7	15.9	1.05	1.02	1.07
Area OP4 [PV]	15.3	15.3	1.00	0.97	1.02
Area 5L (SPL)	13.5	20.8	0.65	0.63	0.67
Area 4p	13.8	14.1	0.97	0.95	1.00
Area Fo5	18.5	19.5	0.95	0.92	0.98
Area hOc3d [V3d]	14.8	23.0	0.64	0.62	0.66
Area 33	15.7	18.4	0.85	0.83	0.87
Area hIP6 (IPS)	18.0	20.8	0.86	0.84	0.89
Area 7P (SPL)	14.7	21.0	0.70	0.68	0.72
Area OP9	13.5	18.5	0.73	0.71	0.75
Area 3a	14.0	15.7	0.89	0.85	0.92
Area s24	17.6	22.9	0.77	0.73	0.80
Area 7M (SPL)	23.1	19.0	1.22	1.16	1.27
Dorsal Dentate Nucleus	23.9	19.1	1.25	1.21	1.31
Area 5Ci (SPL)	17.5	19.6	0.89	0.85	0.94
Area hIP4 (IPS)	17.1	18.0	0.95	0.91	0.98
Area hIP8 (IPS)	19.5	20.2	0.97	0.93	1.00
Area TE 1.0	12.6	15.1	0.83	0.79	0.86
Subiculum	32.0	23.5	1.36	1.29	1.42
Area TE 1.2	12.4	12.2	1.02	0.97	1.05
Area hOc4la	10.6	27.4	0.39	0.37	0.40
Ventral Dentate Nucleus	17.9	15.7	1.14	1.08	1.21
Area TE 1.1	19.3	19.3	1.00	0.94	1.06
Area FG1	8.6	19.4	0.44	0.42	0.46
Area OP8	10.1	12.7	0.80	0.76	0.82
Area hPO1 (IPS)	14.8	20.6	0.72	0.69	0.75
Area hIP7 (IPS)	11.3	17.5	0.65	0.62	0.67
Amygdala (CM)	22.8	13.6	1.68	1.61	1.76
Area hOc4d [V3A]	10.1	20.7	0.49	0.47	0.51
Area Id7	17.4	21.1	0.82	0.77	0.87
Area Id6	12.9	24.9	0.52	0.49	0.55
Area FG3	9.8	23.5	0.42	0.40	0.44
Area Fo1	18.1	35.7	0.51	0.47	0.54
CA1 (Hippocampus)	11.9	25.0	0.48	0.44	0.51
BF (Ch 4)	12.2	12.0	1.02	0.95	1.09
Area OP3 [VS]	7.2	12.9	0.56	0.53	0.60
DG (Hippocampus)	12.3	17.3	0.71	0.66	0.76
Area Id1 	16.3	16.4	1.00	0.90	1.09
Fastigial Nucleus	16.6	21.7	0.76	0.70	0.84
 Interposed Nucleus	11.2	16.1	0.70	0.64	0.75
Area Id3 	16.9	20.9	0.81	0.72	0.89
Area Ig1 	20.5	16.3	1.26	1.09	1.41
Amygdala (VTM)	16.0	10.4	1.53	1.36	1.69
Amygdala (IF)	8.2	10.4	0.79	0.71	0.86
Amygdala (LB)	10.1	22.6	0.45	0.41	0.49
Amygdala (MF)	10.3	9.7	1.06	0.96	1.16
Area hOc6 [V6]	17.3	21.0	0.82	0.71	0.94
Area Fo2	12.8	33.9	0.38	0.30	0.45
Area Id5	8.2	20.2	0.41	0.34	0.46
Area Ig2 	9.6	17.3	0.55	0.48	0.64
Amygdala (SF)	5.3	18.8	0.28	0.25	0.31
Entorhinal Cortex	9.5	27.4	0.35	0.29	0.40
Area OP2 [PIVC]	3.3	15.8	0.21	0.18	0.25
Area Ia	6.5	19.5	0.34	0.27	0.40
Area 25	7.1	20.1	0.35	0.27	0.45
Area Id2 	2.7	14.7	0.19	0.14	0.24
HATA Region	1.2	14.3	0.09	0.06	0.12
Area Id4	0.6	15.6	0.04	0.03	0.05
Area hOc5 [V5/MT]	1.5	16.9	0.09	0.05	0.15
Area Ig3	0.3	14.4	0.02	0.01	0.02
BF (Ch 1-3)	0.9	17.8	0.05	0.05	0.05

Top probabilites at peak voxels	Union across peaks
Area 44	0.4
Area 6mr / preSMA	0.4
Area 1	0.3
Area 6mc / SMA	0.2
Area hIP1 (IPS)	0.2
Area 3b	0.1
Area 6d1	0.1
Area hIP3 (IPS)	0.0
Area 4a	0.0

Probabilities at local maxima	-51.0 / -10.0 / +53.0 (Height: 24)	+54.0 / +2.0 / +47.0 (Height: 23)	+54.0 / -4.0 / +50.0 (Height: 22)	+3.0 / -1.0 / +62.0 (Height: 21)	-63.0 / +5.0 / +17.0 (Height: 16)	-60.0 / +8.0 / +26.0 (Height: 12)	-39.0 / -10.0 / +62.0 (Height: 11)	+42.0 / -13.0 / +62.0 (Height: 11)	-30.0 / -40.0 / +38.0 (Height: 11)
Area 44	0.0	0.0	0.0	0.0	24.1	24.8	0.0	0.0	0.0
Area 6mr / preSMA	0.0	0.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0
Area 1	21.0	0.0	4.0	0.0	0.0	0.0	0.0	3.5	0.0
Area 6mc / SMA	0.0	0.0	0.0	23.4	0.0	0.0	0.0	0.0	0.0
Area hIP1 (IPS)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.3
Area 3b	0.0	0.2	2.5	0.0	0.0	0.0	0.0	9.2	0.0
Area 6d1	0.0	0.0	0.0	0.0	0.0	0.0	5.1	0.0	0.0
Area hIP3 (IPS)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2
Area 4a	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0


Reference List

Area TE 3
P. Morosan, J. Rademacher, N. Palomero-Gallagher, and K. Zilles. Anatomical organization of the human auditory cortex: Cytoarchitecture and transmitter receptors. In: The auditory cortex: Towards a synthesis of human and animal research, edited by R. Kˆnig, P. Heil, E. Budinger, and H. Scheich, Mahwah, New Jersey:Lawrence Erlbaum, 2005, p. 27-50.

Area 2
C. Grefkes, S. Geyer, T. Schormann, P. Roland, K. Zilles. Human somatosensory area 2: observer-independent cytoarchitectonic mapping, interindividual variability, and population map. NeuroImage 14: 617-31, 2001.

Area PGa (IPL)
S. Caspers, S. Geyer, A. Schleicher, H. Mohlberg, K. Amunts, K. Zilles. The human inferior parietal cortex: Cytoarchitectonic parcellation and interindividual variability. Neuroimage 33 (2): 430-448, 2006. _x000D__x000D_S. Caspers, S. B. Eickhoff, S. Geyer, F. Scheperjans, H. Mohlberg, K. Zilles, K. Amunts. The human inferior parietal lobule in stereotaxic space. Brain Structure and Function 212 (6): 481-495, 2008.

Area 7PC (SPL)
F. Scheperjans, K. Hermann, S. B. Eickhoff, K. Amunts, A. Schleicher, K. Zilles. Observer-independent cytoarchitectonic mapping of the human superior parietal cortex. Cereb.Cortex 18 (4): 846-867, 2008. _x000D__x000D_F. Scheperjans, S. B. Eickhoff, L. Hˆmke, H. Mohlberg, K. Hermann, K. Amunts, K. Zilles. Probabilistic maps, morphometry, and variability of cytoarchitectonic areas in the human superior parietal cortex. Cereb.Cortex 18 (9): 2141-2157, 2008.

Area 33
Palomero-Gallagher N, Eickhoff1 SB, Hoffstaedter F, Schleicher A, Mohlberg H, Vogt BA, Amunts K, Zilles K. Functional organization of human subgenual cortical areas: relationship between architectonical segregation and connectional heterogeneity. NeuroImage 115, 177-190, 2015.

Amygdala (MF)
K. Amunts, O. Kedo, M. Kindler, P. Pieperhoff, F. Schneider, H. Mohlberg, U. Habel, N.J. Shah, K. Zilles. Cytoarchitectonic mapping of the human amygdala, hippocampal region and entorhinal cortex. Anatomy and Embryology 210 (5-6): 343-352, 2005. _x000D__x000D_O. Kedo, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, S. Bludau, K. Amunts. Receptor-driven, multimodal mapping of the human amygdala. Brain Structure and Function 223 (4): 1637-1666, 2018.

Area 6mr / preSMA
J. Ruan, S. Bludau, N. Palomero-Gallagher, S. Caspers, H. Mohlberg, S.B. Eickhoff, R.J. Seitz, K. Amunts. Cytoarchitecture, probability maps, and functions of the human supplementary and pre-supplementary motor areas. Brain Struct Funct, in press, 2018.

Area hIP1 (IPS)
H.-J. Choi, K. Zilles, H. Mohlberg, A. Schleicher, G. R. Fink, E. Armstrong, and K. Amunts. Cytoarchitectonic identification and probabilistic mapping of two distinct areas within the anterior ventral bank of the human intraparietal sulcus. J.Comp.Neurol. 495 (1):53-69, 2006.

Area hOc5 [V5/MT]
A. Malikovic, K. Amunts, A. Schleicher, H. Mohlberg, S.B. Eickhoff, M.Wilms, N. Palomero-Gallagher, E. Armstrong, K. Zilles. Cytoarchitectonic analysis of the human extrastriate cortex in the region of V5/MT+: A probabilistic, stereotaxic map of area hOc5, Cereb Cortex 17 (3): 562-574, 2007

Area 5Ci (SPL)
F. Scheperjans, K. Hermann, S. B. Eickhoff, K. Amunts, A. Schleicher, K. Zilles. Observer-independent cytoarchitectonic mapping of the human superior parietal cortex. Cereb.Cortex 18 (4): 846-867, 2008. _x000D__x000D_F. Scheperjans, S. B. Eickhoff, L. Hˆmke, H. Mohlberg, K. Hermann, K. Amunts, K. Zilles. Probabilistic maps, morphometry, and variability of cytoarchitectonic areas in the human superior parietal cortex. Cereb.Cortex 18 (9): 2141-2157, 2008.

Area hOc4d [V3A]
M. Kujovic, K. Zilles, A. Malikovic, A.  Schleicher, H. Mohlberg, C. Rottschy, S.B. Eickhoff, K. Amunts. Cytoarchitectonic mapping of the human dorsal extrastriate cortex. Brain Struct. Funct. 218 (1): 157-172, 2013.

Area 44
K. Amunts, A. Schleicher, U. B¸rgel,H. Mohlberg, H.B.M. Uylings, K. Zilles. Broca's region revisited: Cytoarchitecture and intersubject variability. The Journal of Comparative Neurology 412: 319-341, 1999_x000D__x000D_K. Amunts, P.H. Weiss, H. Mohlberg, P. Pieperhoff, J. Gurd, J.N. Shah, C.J. Marshall, G.R. Fink, K. Zilles. Analysis of the neural mechanisms underlying verbal fluency in cytoarchitectonically defined stereotaxic space - The role of Brodmann's areas 44 and 45. NeuroImage 22 (1): 42-56, 2004

Area hIP5 (IPS)
M. Richter, K. Amunts, H. Mohlberg, S. Bludau, S.B. Eickhoff, K. Zilles, S. Caspers. Cytoarchitectonic segregation of human posterior intraparietal and adjacent parieto-occipital sulcus and ist relation to visuomotor and cognitive functions. Cereb Cortex, in press, 2018

Area Fo1
A. Henssen, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, F. Gerboga, S.B. Eickhoff, S. Bludau, K. Amunts. Cytoarchitecture and probability maps of the human medial orbitofrontal cortex. Cortex, 75: 87-112, 2016.

Area PFm (IPL)
S. Caspers, S. Geyer, A. Schleicher, H. Mohlberg, K. Amunts, K. Zilles. The human inferior parietal cortex: Cytoarchitectonic parcellation and interindividual variability. Neuroimage 33 (2): 430-448, 2006. _x000D__x000D_S. Caspers, S. B. Eickhoff, S. Geyer, F. Scheperjans, H. Mohlberg, K. Zilles, K. Amunts. The human inferior parietal lobule in stereotaxic space. Brain Structure and Function 212 (6): 481-495, 2008.

Area hIP2 (IPS)
H.-J. Choi, K. Zilles, H. Mohlberg, A. Schleicher, G. R. Fink, E. Armstrong, and K. Amunts. Cytoarchitectonic identification and probabilistic mapping of two distinct areas within the anterior ventral bank of the human intraparietal sulcus. J.Comp.Neurol. 495 (1):53-69, 2006.

Area Id6
https://doi.org/10.25493/54HZ-KFQ

Area 6d1
https://doi.org/10.25493/4WSQ-8FM

BF (Ch 4)
L. Zaborszky, L. Hoemke, H. Mohlberg, A. Schleicher, K. Amunts, and K. Zilles. Stereotaxic probabilistic maps of the magnocellular cell groups in human basal forebrain. Neuroimage 42 (3):1127-1141, 2008.

Area PFt (IPL)
S. Caspers, S. Geyer, A. Schleicher, H. Mohlberg, K. Amunts, K. Zilles. The human inferior parietal cortex: Cytoarchitectonic parcellation and interindividual variability. Neuroimage 33 (2): 430-448, 2006. _x000D__x000D_S. Caspers, S. B. Eickhoff, S. Geyer, F. Scheperjans, H. Mohlberg, K. Zilles, K. Amunts. The human inferior parietal lobule in stereotaxic space. Brain Structure and Function 212 (6): 481-495, 2008.

Area hIP3 (IPS)
F. Scheperjans, K. Hermann, S. B. Eickhoff, K. Amunts, A. Schleicher, K. Zilles. Observer-independent cytoarchitectonic mapping of the human superior parietal cortex. Cereb.Cortex 18 (4): 846-867, 2008. _x000D__x000D_F. Scheperjans, S. B. Eickhoff, L. Hˆmke, H. Mohlberg, K. Hermann, K. Amunts, K. Zilles. Probabilistic maps, morphometry, and variability of cytoarchitectonic areas in the human superior parietal cortex. Cereb.Cortex 18 (9): 2141-2157, 2008.

Area PFcm (IPL)
S. Caspers, S. Geyer, A. Schleicher, H. Mohlberg, K. Amunts, K. Zilles. The human inferior parietal cortex: Cytoarchitectonic parcellation and interindividual variability. Neuroimage 33 (2): 430-448, 2006. _x000D__x000D_S. Caspers, S. B. Eickhoff, S. Geyer, F. Scheperjans, H. Mohlberg, K. Zilles, K. Amunts. The human inferior parietal lobule in stereotaxic space. Brain Structure and Function 212 (6): 481-495, 2008.

Area 6d2
https://doi.org/10.25493/KXHS-N90

Area Id2 


Area Ig3


Dorsal Dentate Nucleus
S. Tellmann, S. Bludau, S.B. Eickhoff, H. Mohlberg, M. Minnerop, K. Amunts. Cytoarchitectonic mapping of the human brain cerebellar nuclei in stereotaxic space and delineation of their co-activation patterns. Frontiers in Neuroanatomy 9: 54, 2015.

Area Fo3
A. Henssen, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, F. Gerboga, S.B. Eickhoff, S. Bludau, K. Amunts. Cytoarchitecture and probability maps of the human medial orbitofrontal cortex. Cortex, 75: 87-112, 2016.

Area Fo6
https://doi.org/10.25493/34Q4-H62

Area hPO1 (IPS)
M. Richter, K. Amunts, H. Mohlberg, S. Bludau, S.B. Eickhoff, K. Zilles, S. Caspers. Cytoarchitectonic segregation of human posterior intraparietal and adjacent parieto-occipital sulcus and ist relation to visuomotor and cognitive functions. Cereb Cortex, in press, 2018

Area OP2 [PIVC]
S. Eickhoff, A. Schleicher, K. Zilles, K. Amunts. The human parietal operculum. I. Cytoarchitectonic mapping of subdivisions. Cereb. Cortex 16 (2): 254-267, 2006., _x000D__x000D_S. Eickhoff, K. Amunts, H. Mohlberg, K. Zilles. The human parietal operculum. II. Stereotaxic maps and correlation with functional imaging results. Cereb. Cortex 16 (2): 268-279, 2006.

Area hOc6 [V6]
M. Richter, K. Amunts, H. Mohlberg, S. Bludau, S.B. Eickhoff, K. Zilles, S. Caspers. Cytoarchitectonic segregation of human posterior intraparietal and adjacent parieto-occipital sulcus and ist relation to visuomotor and cognitive functions. Cereb Cortex, in press, 2018

Area p24c
Palomero-Gallagher N, Hoffstaedter F, Mohlberg H, Eickhoff SB, Amunts K, Zilles K. (2018) Human pregenual anterior cingulate cortex: structural, functional and connectional heterogeneity. Cerebral Cortex. doi: 10.1093/cercor/bhy124.

Area Fo7
https://doi.org/10.25493/3WEV-561

Area TE 1.1
P. Morosan, J. Rademacher, A. Schleicher, K. Amunts, T. Schormann, K. Zilles. Human primary auditory cortex: Cytoarchitectonic subdivisions and mapping into a spatial reference system. NeuroImage 13: 684-701, 2001._x000D__x000D_J. Rademacher, P. Morosan, T. Schormann, A. Schleicher, C. Werner, H.J. Freund, K. Zilles. Probabilistic mapping and volume measurement of human primary auditory cortex. NeuroImage 13: 669-683, 2001.

CA1 (Hippocampus)
K. Amunts, O. Kedo., M. Kindler., P. Pieperhoff., F. Schneider, H. Mohlberg, U. Habel, J.N. Shah, K. Zilles. Cytoarchitectonic mapping of the human amygdala, hippocampal region and entorhinal cortex. Anatomy and Embryology 210 (5-6): 343-352, 2005 

Area 3b
S. Geyer, A. Schleicher, K. Zilles. Areas 3a, 3b, and 1 of human primary somatosensory cortex: I. Microstructural organisation and interindividual variability. NeuroImage 10: 63-83, 1999. _x000D__x000D_S. Geyer, T. Schormann, H. Mohlberg, K. Zilles. Areas 3a, 3b, and 1 of human primary somatosensory cortex:  II. Spatial normalization to standard anatomical space. NeuroImage 11 (6): 684-696, 2000.

Area 6mc / SMA
J. Ruan, S. Bludau, N. Palomero-Gallagher, S. Caspers, H. Mohlberg, S.B. Eickhoff, R.J. Seitz, K. Amunts. Cytoarchitecture, probability maps, and functions of the human supplementary and pre-supplementary motor areas. Brain Struct Funct, in press, 2018.

Area hOc3v [V3v]
C. Rottschy, S.B. Eickhoff, A. Schleicher, H. Mohlberg, K. Zilles, K. Amunts. The ventral visual cortex in humans: Cytoarchitectonic mapping of two extrastriate areas. Human Brain Mapping 28 (1): 1-8, 2007

Fastigial Nucleus
S. Tellmann, S. Bludau, S.B. Eickhoff, H. Mohlberg, M. Minnerop, K. Amunts. Cytoarchitectonic mapping of the human brain cerebellar nuclei in stereotaxic space and delineation of their co-activation patterns. Frontiers in Neuroanatomy 9: 54, 2015.

Area OP9
https://doi.org/10.25493/3A30-5E4

Area Id3 


Area 45
K. Amunts, A. Schleicher, U. B¸rgel,H. Mohlberg, H.B.M. Uylings, K. Zilles. Broca's region revisited: Cytoarchitecture and intersubject variability. The Journal of Comparative Neurology 412: 319-341, 1999_x000D__x000D_K. Amunts, P.H. Weiss, H. Mohlberg, P. Pieperhoff, J. Gurd, J.N. Shah, C.J. Marshall, G.R. Fink, K. Zilles. Analysis of the neural mechanisms underlying verbal fluency in cytoarchitectonically defined stereotaxic space - The role of Brodmann's areas 44 and 45. NeuroImage 22 (1): 42-56, 2004

Area Ig2 
F. Kurth, S. B. Eickhoff, A. Schleicher, L. Hoemke, K. Zilles, and K. Amunts. Cytoarchitecture and probabilistic maps of the human posterior insular cortex. Cereb.Cortex 20 (6):1448-1461, 2009.

Area Fo4
https://doi.org/10.25493/29G0-66F

Amygdala (CM)
K. Amunts, O. Kedo, M. Kindler, P. Pieperhoff, F. Schneider, H. Mohlberg, U. Habel, N.J. Shah, K. Zilles. Cytoarchitectonic mapping of the human amygdala, hippocampal region and entorhinal cortex. Anatomy and Embryology 210 (5-6): 343-352, 2005. _x000D__x000D_O. Kedo, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, S. Bludau, K. Amunts. Receptor-driven, multimodal mapping of the human amygdala. Brain Structure and Function 223 (4): 1637-1666, 2018.

Amygdala (SF)
K. Amunts, O. Kedo, M. Kindler, P. Pieperhoff, F. Schneider, H. Mohlberg, U. Habel, N.J. Shah, K. Zilles. Cytoarchitectonic mapping of the human amygdala, hippocampal region and entorhinal cortex. Anatomy and Embryology 210 (5-6): 343-352, 2005. _x000D__x000D_O. Kedo, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, S. Bludau, K. Amunts. Receptor-driven, multimodal mapping of the human amygdala. Brain Structure and Function 223 (4): 1637-1666, 2018.

Area FG3
S. Lorenz, K.S. Weiner, J. Caspers, H. Mohlberg, A. Schleicher, S. Bludau, S.B. Eickhoff, K. Grill-Spector, K. Zilles, K. Amunts. Two new cytoarchitectonic areas on the human mid-fusiform gyrus. Cerebral Cortex 27 (1): 373-385, 2017.

Area TE 4
https://doi.org/10.25493/F6DF-H8P

Area Fp1
S. Bludau, S.B. Eickhoff, H. Mohlberg, S. Caspers, A.R. Laird, P.T. Fox, A. Schleicher, K. Zilles, K. Amunts. Cytoarchitecture, probability maps and functions of the human frontal pole. NeuroImage, 93: 260-275, 2014.

Area p32
Palomero-Gallagher N, Hoffstaedter F, Mohlberg H, Eickhoff SB, Amunts K, Zilles K. (2018) Human pregenual anterior cingulate cortex: structural, functional and connectional heterogeneity. Cerebral Cortex. doi: 10.1093/cercor/bhy124.

Area 6d3
https://doi.org/10.25493/NVJ5-JJ

Area hOc4v [V4(v)]
C. Rottschy, S.B. Eickhoff, A. Schleicher, H. Mohlberg, K. Zilles, K. Amunts. The ventral visual cortex in humans: Cytoarchitectonic mapping of two extrastriate areas. Human Brain Mapping 28 (1): 1-8, 2007

Area 3a
S. Geyer, A. Schleicher, K. Zilles. Areas 3a, 3b, and 1 of human primary somatosensory cortex: I. Microstructural organisation and interindividual variability. NeuroImage 10: 63-83, 1999. _x000D__x000D_S. Geyer, T. Schormann, H. Mohlberg, K. Zilles. Areas 3a, 3b, and 1 of human primary somatosensory cortex:  II. Spatial normalization to standard anatomical space. NeuroImage 11 (6): 684-696, 2000.

Area 4a
S. Geyer, A. Ledberg, A. Schleicher, S. Kinomura, T. Schormann, U.B¸rgel, T.Klingberg, J. Larsson, K.Zilles, P.E. Roland. Two different areas within the primary motor cortex of man, Nature 382: 805-807, 1996

Area TE 1.2
P. Morosan, J. Rademacher, A. Schleicher, K. Amunts, T. Schormann, K. Zilles. Human primary auditory cortex: Cytoarchitectonic subdivisions and mapping into a spatial reference system. NeuroImage 13: 684-701, 2001._x000D__x000D_J. Rademacher, P. Morosan, T. Schormann, A. Schleicher, C. Werner, H.J. Freund, K. Zilles. Probabilistic mapping and volume measurement of human primary auditory cortex. NeuroImage 13: 669-683, 2001.

Area Id4
https://doi.org/10.25493/K63G-89H

Area 5M (SPL)
F. Scheperjans, K. Hermann, S. B. Eickhoff, K. Amunts, A. Schleicher, K. Zilles. Observer-independent cytoarchitectonic mapping of the human superior parietal cortex. Cereb.Cortex 18 (4): 846-867, 2008. _x000D__x000D_F. Scheperjans, S. B. Eickhoff, L. Hˆmke, H. Mohlberg, K. Hermann, K. Amunts, K. Zilles. Probabilistic maps, morphometry, and variability of cytoarchitectonic areas in the human superior parietal cortex. Cereb.Cortex 18 (9): 2141-2157, 2008.

Area 4p
S. Geyer, A. Ledberg, A. Schleicher, S. Kinomura, T. Schormann, U.B¸rgel, T.Klingberg, J. Larsson, K.Zilles, P.E. Roland. Two different areas within the primary motor cortex of man, Nature 382: 805-807, 1996

Ventral Dentate Nucleus
