SPM: switch [p<0.01 (unc.), k=50]

Cluster 1 	20842 vox	 -27	-4	+56

Assignment based on Maximum Probability Map	Percent of Cluster volume in Area	Percent of Area activated by Cluster
Area TE 1.1	0.0	5.1
Amygdala (CM)	0.0	11.8
Ventral Dentate Nucleus	0.0	9.7
BF (Ch 4)	0.0	17.9
Dorsal Dentate Nucleus	0.0	3.4
Area 4p	0.0	0.7
Area Id2 	0.0	1.6
Area OP3 [VS]	0.0	1.1
Area Ig3	0.0	1.6
Area Id1 	0.0	1.3
Area 7M (SPL)	0.0	1.2
BF (Ch 1-3)	0.0	2.4
Amygdala (SF)	0.0	0.4
 Interposed Nucleus	0.0	0.5
Area TE 1.0	0.0	0.0

Probability exceedance by Area	Mean probability at Cluster location (%)	Mean probability across PMap (%)	Ratio	95% CI	95% CI
Area 7A (SPL)	28.8	24.9	1.16	1.14	1.17
Area FG4	30.6	24.6	1.24	1.22	1.26
Area hOc1 [V1]	42.5	36.5	1.16	1.15	1.18
Area 44	20.6	18.7	1.10	1.09	1.12
Area hOc4la	30.0	27.4	1.10	1.08	1.11
Area hIP3 (IPS)	20.3	18.0	1.13	1.11	1.15
Area PF (IPL)	23.8	21.7	1.10	1.08	1.12
Area PFt (IPL)	26.2	24.9	1.05	1.04	1.07
Area FG2	22.3	19.8	1.12	1.11	1.14
Area hIP1 (IPS)	21.4	19.1	1.12	1.10	1.14
Area 6d2	21.2	19.1	1.11	1.10	1.14
Area 6d1	21.5	22.9	0.94	0.92	0.95
Area 6d3	26.8	20.4	1.31	1.29	1.34
Area hOc4lp	29.2	25.3	1.15	1.13	1.18
Area 6mr / preSMA	27.1	24.6	1.10	1.08	1.12
Area hOc2 [V2]	21.9	23.0	0.95	0.93	0.96
Area 45	20.3	21.7	0.94	0.92	0.95
Area PFm (IPL)	21.8	24.0	0.91	0.89	0.92
Area hIP6 (IPS)	21.6	20.8	1.04	1.02	1.05
Area hIP2 (IPS)	17.7	15.9	1.11	1.09	1.13
Area Id6	30.4	24.9	1.22	1.19	1.24
Area 7P (SPL)	22.6	21.0	1.08	1.06	1.10
Area 2	17.2	17.7	0.97	0.95	0.99
Area hIP8 (IPS)	20.9	20.2	1.03	1.02	1.06
Area hIP5 (IPS)	26.3	21.7	1.21	1.19	1.24
Area hOc4v [V4(v)]	25.6	25.7	0.99	0.97	1.02
Area PFcm (IPL)	20.1	18.9	1.06	1.04	1.08
Area PFop (IPL)	18.7	16.1	1.16	1.13	1.19
Area OP1 [SII]	21.0	18.9	1.11	1.09	1.14
Area 7PC (SPL)	14.2	18.1	0.78	0.77	0.80
Area Fp1	28.7	39.5	0.73	0.71	0.74
Area 6mc / SMA	20.2	18.1	1.12	1.09	1.14
Area hOc3v [V3v]	19.8	24.2	0.82	0.80	0.83
Area Fo3	43.2	34.9	1.24	1.20	1.27
Area Id7	25.6	21.1	1.21	1.18	1.25
Area FG3	21.9	23.5	0.93	0.91	0.95
Area 1	18.3	20.4	0.90	0.88	0.92
Area OP8	14.8	12.7	1.17	1.14	1.19
Area hIP7 (IPS)	24.3	17.5	1.39	1.36	1.43
Area 5L (SPL)	12.2	20.8	0.59	0.57	0.60
Area TE 5	26.3	24.3	1.08	1.06	1.11
Area 4a	17.1	18.6	0.92	0.90	0.94
Area 3b	15.4	19.4	0.79	0.77	0.81
Area 5M (SPL)	22.0	21.2	1.04	1.01	1.07
Area hOc5 [V5/MT]	18.9	16.9	1.12	1.07	1.16
Area PGa (IPL)	10.5	19.1	0.55	0.54	0.56
Area OP9	17.3	18.5	0.94	0.91	0.96
Area FG1	13.8	19.4	0.71	0.69	0.73
Area 33	19.0	18.4	1.04	1.01	1.06
Area hOc3d [V3d]	15.6	23.0	0.68	0.66	0.69
Area hOc4d [V3A]	18.7	20.7	0.91	0.88	0.93
Area TE 3	13.2	24.2	0.55	0.53	0.56
Area TE 4	23.6	22.3	1.06	1.03	1.09
Area hPO1 (IPS)	13.9	20.6	0.68	0.66	0.70
Area PGp (IPL)	14.0	25.2	0.56	0.54	0.57
Area Fo4	24.5	22.6	1.09	1.05	1.13
Area Fo5	21.8	19.5	1.12	1.09	1.15
Area hIP4 (IPS)	17.9	18.0	0.99	0.96	1.02
Area OP4 [PV]	13.3	15.3	0.87	0.84	0.89
Area 5Ci (SPL)	18.4	19.6	0.94	0.90	0.97
Area hOc6 [V6]	22.4	21.0	1.06	1.01	1.12
Area p24ab	22.2	20.1	1.11	1.05	1.15
Area p24c	14.5	19.5	0.74	0.70	0.77
Area Id4	22.4	15.6	1.44	1.37	1.50
Area 3a	8.5	15.7	0.54	0.52	0.56
CA1 (Hippocampus)	17.5	25.0	0.70	0.67	0.73
Area Fo6	15.4	26.0	0.59	0.56	0.62
Area Fo7	9.7	20.0	0.48	0.46	0.50
Subiculum	21.9	23.5	0.93	0.88	0.98
Area p32	17.4	30.5	0.57	0.53	0.60
Area TE 1.2	12.1	12.2	0.99	0.94	1.04
Dorsal Dentate Nucleus	8.8	19.1	0.46	0.43	0.48
Area TE 1.1	12.6	19.3	0.65	0.62	0.68
Area Id5	14.2	20.2	0.71	0.66	0.76
DG (Hippocampus)	15.2	17.3	0.88	0.83	0.92
Area 4p	3.8	14.1	0.27	0.25	0.28
Ventral Dentate Nucleus	10.0	15.7	0.63	0.57	0.68
Area TE 1.0	6.2	15.1	0.41	0.39	0.43
BF (Ch 4)	13.1	12.0	1.09	0.99	1.19
Amygdala (CM)	19.7	13.6	1.45	1.33	1.57
Area OP3 [VS]	4.4	12.9	0.35	0.32	0.37
Area 7M (SPL)	6.9	19.0	0.36	0.33	0.40
Area Id1 	11.8	16.4	0.72	0.62	0.85
BF (Ch 1-3)	8.9	17.8	0.50	0.41	0.60
Area Id2 	7.4	14.7	0.51	0.41	0.59
 Interposed Nucleus	7.6	16.1	0.47	0.40	0.57
Amygdala (SF)	6.7	18.8	0.35	0.29	0.44
Area Ig3	9.4	14.4	0.65	0.54	0.79
Area OP2 [PIVC]	5.3	15.8	0.33	0.29	0.38
Area s24	3.9	22.9	0.17	0.15	0.19
Amygdala (MF)	7.1	9.7	0.73	0.59	0.85
Amygdala (IF)	3.9	10.4	0.38	0.31	0.44
Amygdala (LB)	4.4	22.6	0.19	0.16	0.24
Area s32	3.0	20.5	0.15	0.12	0.18
Area Ia	1.8	19.5	0.09	0.06	0.13
Area Fp2	4.3	32.9	0.13	0.10	0.17
Area Fo2	1.5	33.9	0.04	0.03	0.06
Area Id3 	5.5	20.9	0.26	0.19	0.36
Area 25	1.7	20.1	0.09	0.06	0.11
Area Fo1	1.4	35.7	0.04	0.03	0.05
Fastigial Nucleus	0.2	21.7	0.01	0.01	0.02
Area Ig1 	0.0	16.3	0.00	0.00	0.00

Top probabilites at peak voxels	Union across peaks
Area 7A (SPL)	0.6
Area PF (IPL)	0.5
Area 6d3	0.5
Area PFcm (IPL)	0.3
Area 7P (SPL)	0.3
Area 44	0.2
Area 6d1	0.2
Area 6d2	0.2
Area PFt (IPL)	0.1
Area 6mr / preSMA	0.1
Area TE 3	0.0

Probabilities at local maxima	-27.0 / -4.0 / +56.0 (Height: 22)	+66.0 / -25.0 / +23.0 (Height: 19)	-12.0 / -64.0 / +59.0 (Height: 17)	-51.0 / +2.0 / +14.0 (Height: 17)	-60.0 / -37.0 / +23.0 (Height: 16)	-12.0 / +2.0 / +47.0 (Height: 16)
Area 7A (SPL)	0.0	0.0	63.5	0.0	0.0	0.0
Area PF (IPL)	0.0	44.2	0.0	0.0	13.5	0.0
Area 6d3	51.5	0.0	0.0	0.0	0.0	0.0
Area PFcm (IPL)	0.0	8.9	0.0	0.0	28.4	0.0
Area 7P (SPL)	0.0	0.0	31.6	0.0	0.0	0.0
Area 44	0.0	0.0	0.0	23.8	0.0	0.0
Area 6d1	22.3	0.0	0.0	0.0	0.0	0.0
Area 6d2	21.5	0.0	0.0	0.0	0.0	0.0
Area PFt (IPL)	0.0	11.1	0.0	0.0	0.0	0.0
Area 6mr / preSMA	0.0	0.0	0.0	0.0	0.0	8.6
Area TE 3	0.0	0.3	0.0	0.0	0.0	0.0


Reference List

Area TE 3
P. Morosan, J. Rademacher, N. Palomero-Gallagher, and K. Zilles. Anatomical organization of the human auditory cortex: Cytoarchitecture and transmitter receptors. In: The auditory cortex: Towards a synthesis of human and animal research, edited by R. Kˆnig, P. Heil, E. Budinger, and H. Scheich, Mahwah, New Jersey:Lawrence Erlbaum, 2005, p. 27-50.

Area 2
C. Grefkes, S. Geyer, T. Schormann, P. Roland, K. Zilles. Human somatosensory area 2: observer-independent cytoarchitectonic mapping, interindividual variability, and population map. NeuroImage 14: 617-31, 2001.

Area PGa (IPL)
S. Caspers, S. Geyer, A. Schleicher, H. Mohlberg, K. Amunts, K. Zilles. The human inferior parietal cortex: Cytoarchitectonic parcellation and interindividual variability. Neuroimage 33 (2): 430-448, 2006. _x000D__x000D_S. Caspers, S. B. Eickhoff, S. Geyer, F. Scheperjans, H. Mohlberg, K. Zilles, K. Amunts. The human inferior parietal lobule in stereotaxic space. Brain Structure and Function 212 (6): 481-495, 2008.

Area 7PC (SPL)
F. Scheperjans, K. Hermann, S. B. Eickhoff, K. Amunts, A. Schleicher, K. Zilles. Observer-independent cytoarchitectonic mapping of the human superior parietal cortex. Cereb.Cortex 18 (4): 846-867, 2008. _x000D__x000D_F. Scheperjans, S. B. Eickhoff, L. Hˆmke, H. Mohlberg, K. Hermann, K. Amunts, K. Zilles. Probabilistic maps, morphometry, and variability of cytoarchitectonic areas in the human superior parietal cortex. Cereb.Cortex 18 (9): 2141-2157, 2008.

Area 33
Palomero-Gallagher N, Eickhoff1 SB, Hoffstaedter F, Schleicher A, Mohlberg H, Vogt BA, Amunts K, Zilles K. Functional organization of human subgenual cortical areas: relationship between architectonical segregation and connectional heterogeneity. NeuroImage 115, 177-190, 2015.

Amygdala (MF)
K. Amunts, O. Kedo, M. Kindler, P. Pieperhoff, F. Schneider, H. Mohlberg, U. Habel, N.J. Shah, K. Zilles. Cytoarchitectonic mapping of the human amygdala, hippocampal region and entorhinal cortex. Anatomy and Embryology 210 (5-6): 343-352, 2005. _x000D__x000D_O. Kedo, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, S. Bludau, K. Amunts. Receptor-driven, multimodal mapping of the human amygdala. Brain Structure and Function 223 (4): 1637-1666, 2018.

Area 6mr / preSMA
J. Ruan, S. Bludau, N. Palomero-Gallagher, S. Caspers, H. Mohlberg, S.B. Eickhoff, R.J. Seitz, K. Amunts. Cytoarchitecture, probability maps, and functions of the human supplementary and pre-supplementary motor areas. Brain Struct Funct, in press, 2018.

Area hIP1 (IPS)
H.-J. Choi, K. Zilles, H. Mohlberg, A. Schleicher, G. R. Fink, E. Armstrong, and K. Amunts. Cytoarchitectonic identification and probabilistic mapping of two distinct areas within the anterior ventral bank of the human intraparietal sulcus. J.Comp.Neurol. 495 (1):53-69, 2006.

Area hOc5 [V5/MT]
A. Malikovic, K. Amunts, A. Schleicher, H. Mohlberg, S.B. Eickhoff, M.Wilms, N. Palomero-Gallagher, E. Armstrong, K. Zilles. Cytoarchitectonic analysis of the human extrastriate cortex in the region of V5/MT+: A probabilistic, stereotaxic map of area hOc5, Cereb Cortex 17 (3): 562-574, 2007

Area 5Ci (SPL)
F. Scheperjans, K. Hermann, S. B. Eickhoff, K. Amunts, A. Schleicher, K. Zilles. Observer-independent cytoarchitectonic mapping of the human superior parietal cortex. Cereb.Cortex 18 (4): 846-867, 2008. _x000D__x000D_F. Scheperjans, S. B. Eickhoff, L. Hˆmke, H. Mohlberg, K. Hermann, K. Amunts, K. Zilles. Probabilistic maps, morphometry, and variability of cytoarchitectonic areas in the human superior parietal cortex. Cereb.Cortex 18 (9): 2141-2157, 2008.

Area hOc4d [V3A]
M. Kujovic, K. Zilles, A. Malikovic, A.  Schleicher, H. Mohlberg, C. Rottschy, S.B. Eickhoff, K. Amunts. Cytoarchitectonic mapping of the human dorsal extrastriate cortex. Brain Struct. Funct. 218 (1): 157-172, 2013.

Area 44
K. Amunts, A. Schleicher, U. B¸rgel,H. Mohlberg, H.B.M. Uylings, K. Zilles. Broca's region revisited: Cytoarchitecture and intersubject variability. The Journal of Comparative Neurology 412: 319-341, 1999_x000D__x000D_K. Amunts, P.H. Weiss, H. Mohlberg, P. Pieperhoff, J. Gurd, J.N. Shah, C.J. Marshall, G.R. Fink, K. Zilles. Analysis of the neural mechanisms underlying verbal fluency in cytoarchitectonically defined stereotaxic space - The role of Brodmann's areas 44 and 45. NeuroImage 22 (1): 42-56, 2004

Area hIP5 (IPS)
M. Richter, K. Amunts, H. Mohlberg, S. Bludau, S.B. Eickhoff, K. Zilles, S. Caspers. Cytoarchitectonic segregation of human posterior intraparietal and adjacent parieto-occipital sulcus and ist relation to visuomotor and cognitive functions. Cereb Cortex, in press, 2018

Area Fo1
A. Henssen, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, F. Gerboga, S.B. Eickhoff, S. Bludau, K. Amunts. Cytoarchitecture and probability maps of the human medial orbitofrontal cortex. Cortex, 75: 87-112, 2016.

Area PFm (IPL)
S. Caspers, S. Geyer, A. Schleicher, H. Mohlberg, K. Amunts, K. Zilles. The human inferior parietal cortex: Cytoarchitectonic parcellation and interindividual variability. Neuroimage 33 (2): 430-448, 2006. _x000D__x000D_S. Caspers, S. B. Eickhoff, S. Geyer, F. Scheperjans, H. Mohlberg, K. Zilles, K. Amunts. The human inferior parietal lobule in stereotaxic space. Brain Structure and Function 212 (6): 481-495, 2008.

Area hIP2 (IPS)
H.-J. Choi, K. Zilles, H. Mohlberg, A. Schleicher, G. R. Fink, E. Armstrong, and K. Amunts. Cytoarchitectonic identification and probabilistic mapping of two distinct areas within the anterior ventral bank of the human intraparietal sulcus. J.Comp.Neurol. 495 (1):53-69, 2006.

Area Id6
https://doi.org/10.25493/54HZ-KFQ

Area 6d1
https://doi.org/10.25493/4WSQ-8FM

BF (Ch 4)
L. Zaborszky, L. Hoemke, H. Mohlberg, A. Schleicher, K. Amunts, and K. Zilles. Stereotaxic probabilistic maps of the magnocellular cell groups in human basal forebrain. Neuroimage 42 (3):1127-1141, 2008.

Area PFt (IPL)
S. Caspers, S. Geyer, A. Schleicher, H. Mohlberg, K. Amunts, K. Zilles. The human inferior parietal cortex: Cytoarchitectonic parcellation and interindividual variability. Neuroimage 33 (2): 430-448, 2006. _x000D__x000D_S. Caspers, S. B. Eickhoff, S. Geyer, F. Scheperjans, H. Mohlberg, K. Zilles, K. Amunts. The human inferior parietal lobule in stereotaxic space. Brain Structure and Function 212 (6): 481-495, 2008.

Area hIP3 (IPS)
F. Scheperjans, K. Hermann, S. B. Eickhoff, K. Amunts, A. Schleicher, K. Zilles. Observer-independent cytoarchitectonic mapping of the human superior parietal cortex. Cereb.Cortex 18 (4): 846-867, 2008. _x000D__x000D_F. Scheperjans, S. B. Eickhoff, L. Hˆmke, H. Mohlberg, K. Hermann, K. Amunts, K. Zilles. Probabilistic maps, morphometry, and variability of cytoarchitectonic areas in the human superior parietal cortex. Cereb.Cortex 18 (9): 2141-2157, 2008.

Area PFcm (IPL)
S. Caspers, S. Geyer, A. Schleicher, H. Mohlberg, K. Amunts, K. Zilles. The human inferior parietal cortex: Cytoarchitectonic parcellation and interindividual variability. Neuroimage 33 (2): 430-448, 2006. _x000D__x000D_S. Caspers, S. B. Eickhoff, S. Geyer, F. Scheperjans, H. Mohlberg, K. Zilles, K. Amunts. The human inferior parietal lobule in stereotaxic space. Brain Structure and Function 212 (6): 481-495, 2008.

Area 6d2
https://doi.org/10.25493/KXHS-N90

Area Id2 


Area Ig3


Dorsal Dentate Nucleus
S. Tellmann, S. Bludau, S.B. Eickhoff, H. Mohlberg, M. Minnerop, K. Amunts. Cytoarchitectonic mapping of the human brain cerebellar nuclei in stereotaxic space and delineation of their co-activation patterns. Frontiers in Neuroanatomy 9: 54, 2015.

Area Fo3
A. Henssen, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, F. Gerboga, S.B. Eickhoff, S. Bludau, K. Amunts. Cytoarchitecture and probability maps of the human medial orbitofrontal cortex. Cortex, 75: 87-112, 2016.

Area Fo6
https://doi.org/10.25493/34Q4-H62

Area hPO1 (IPS)
M. Richter, K. Amunts, H. Mohlberg, S. Bludau, S.B. Eickhoff, K. Zilles, S. Caspers. Cytoarchitectonic segregation of human posterior intraparietal and adjacent parieto-occipital sulcus and ist relation to visuomotor and cognitive functions. Cereb Cortex, in press, 2018

Area OP2 [PIVC]
S. Eickhoff, A. Schleicher, K. Zilles, K. Amunts. The human parietal operculum. I. Cytoarchitectonic mapping of subdivisions. Cereb. Cortex 16 (2): 254-267, 2006., _x000D__x000D_S. Eickhoff, K. Amunts, H. Mohlberg, K. Zilles. The human parietal operculum. II. Stereotaxic maps and correlation with functional imaging results. Cereb. Cortex 16 (2): 268-279, 2006.

Area hOc6 [V6]
M. Richter, K. Amunts, H. Mohlberg, S. Bludau, S.B. Eickhoff, K. Zilles, S. Caspers. Cytoarchitectonic segregation of human posterior intraparietal and adjacent parieto-occipital sulcus and ist relation to visuomotor and cognitive functions. Cereb Cortex, in press, 2018

Area p24c
Palomero-Gallagher N, Hoffstaedter F, Mohlberg H, Eickhoff SB, Amunts K, Zilles K. (2018) Human pregenual anterior cingulate cortex: structural, functional and connectional heterogeneity. Cerebral Cortex. doi: 10.1093/cercor/bhy124.

Area Fo7
https://doi.org/10.25493/3WEV-561

Area TE 1.1
P. Morosan, J. Rademacher, A. Schleicher, K. Amunts, T. Schormann, K. Zilles. Human primary auditory cortex: Cytoarchitectonic subdivisions and mapping into a spatial reference system. NeuroImage 13: 684-701, 2001._x000D__x000D_J. Rademacher, P. Morosan, T. Schormann, A. Schleicher, C. Werner, H.J. Freund, K. Zilles. Probabilistic mapping and volume measurement of human primary auditory cortex. NeuroImage 13: 669-683, 2001.

CA1 (Hippocampus)
K. Amunts, O. Kedo., M. Kindler., P. Pieperhoff., F. Schneider, H. Mohlberg, U. Habel, J.N. Shah, K. Zilles. Cytoarchitectonic mapping of the human amygdala, hippocampal region and entorhinal cortex. Anatomy and Embryology 210 (5-6): 343-352, 2005 

Area 3b
S. Geyer, A. Schleicher, K. Zilles. Areas 3a, 3b, and 1 of human primary somatosensory cortex: I. Microstructural organisation and interindividual variability. NeuroImage 10: 63-83, 1999. _x000D__x000D_S. Geyer, T. Schormann, H. Mohlberg, K. Zilles. Areas 3a, 3b, and 1 of human primary somatosensory cortex:  II. Spatial normalization to standard anatomical space. NeuroImage 11 (6): 684-696, 2000.

Area 6mc / SMA
J. Ruan, S. Bludau, N. Palomero-Gallagher, S. Caspers, H. Mohlberg, S.B. Eickhoff, R.J. Seitz, K. Amunts. Cytoarchitecture, probability maps, and functions of the human supplementary and pre-supplementary motor areas. Brain Struct Funct, in press, 2018.

Area hOc3v [V3v]
C. Rottschy, S.B. Eickhoff, A. Schleicher, H. Mohlberg, K. Zilles, K. Amunts. The ventral visual cortex in humans: Cytoarchitectonic mapping of two extrastriate areas. Human Brain Mapping 28 (1): 1-8, 2007

Fastigial Nucleus
S. Tellmann, S. Bludau, S.B. Eickhoff, H. Mohlberg, M. Minnerop, K. Amunts. Cytoarchitectonic mapping of the human brain cerebellar nuclei in stereotaxic space and delineation of their co-activation patterns. Frontiers in Neuroanatomy 9: 54, 2015.

Area OP9
https://doi.org/10.25493/3A30-5E4

Area Id3 


Area 45
K. Amunts, A. Schleicher, U. B¸rgel,H. Mohlberg, H.B.M. Uylings, K. Zilles. Broca's region revisited: Cytoarchitecture and intersubject variability. The Journal of Comparative Neurology 412: 319-341, 1999_x000D__x000D_K. Amunts, P.H. Weiss, H. Mohlberg, P. Pieperhoff, J. Gurd, J.N. Shah, C.J. Marshall, G.R. Fink, K. Zilles. Analysis of the neural mechanisms underlying verbal fluency in cytoarchitectonically defined stereotaxic space - The role of Brodmann's areas 44 and 45. NeuroImage 22 (1): 42-56, 2004

Area Fo4
https://doi.org/10.25493/29G0-66F

Amygdala (CM)
K. Amunts, O. Kedo, M. Kindler, P. Pieperhoff, F. Schneider, H. Mohlberg, U. Habel, N.J. Shah, K. Zilles. Cytoarchitectonic mapping of the human amygdala, hippocampal region and entorhinal cortex. Anatomy and Embryology 210 (5-6): 343-352, 2005. _x000D__x000D_O. Kedo, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, S. Bludau, K. Amunts. Receptor-driven, multimodal mapping of the human amygdala. Brain Structure and Function 223 (4): 1637-1666, 2018.

Amygdala (SF)
K. Amunts, O. Kedo, M. Kindler, P. Pieperhoff, F. Schneider, H. Mohlberg, U. Habel, N.J. Shah, K. Zilles. Cytoarchitectonic mapping of the human amygdala, hippocampal region and entorhinal cortex. Anatomy and Embryology 210 (5-6): 343-352, 2005. _x000D__x000D_O. Kedo, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, S. Bludau, K. Amunts. Receptor-driven, multimodal mapping of the human amygdala. Brain Structure and Function 223 (4): 1637-1666, 2018.

Area FG3
S. Lorenz, K.S. Weiner, J. Caspers, H. Mohlberg, A. Schleicher, S. Bludau, S.B. Eickhoff, K. Grill-Spector, K. Zilles, K. Amunts. Two new cytoarchitectonic areas on the human mid-fusiform gyrus. Cerebral Cortex 27 (1): 373-385, 2017.

Area TE 4
https://doi.org/10.25493/F6DF-H8P

Area Fp1
S. Bludau, S.B. Eickhoff, H. Mohlberg, S. Caspers, A.R. Laird, P.T. Fox, A. Schleicher, K. Zilles, K. Amunts. Cytoarchitecture, probability maps and functions of the human frontal pole. NeuroImage, 93: 260-275, 2014.

Area p32
Palomero-Gallagher N, Hoffstaedter F, Mohlberg H, Eickhoff SB, Amunts K, Zilles K. (2018) Human pregenual anterior cingulate cortex: structural, functional and connectional heterogeneity. Cerebral Cortex. doi: 10.1093/cercor/bhy124.

Area 6d3
https://doi.org/10.25493/NVJ5-JJ

Area hOc4v [V4(v)]
C. Rottschy, S.B. Eickhoff, A. Schleicher, H. Mohlberg, K. Zilles, K. Amunts. The ventral visual cortex in humans: Cytoarchitectonic mapping of two extrastriate areas. Human Brain Mapping 28 (1): 1-8, 2007

Area 3a
S. Geyer, A. Schleicher, K. Zilles. Areas 3a, 3b, and 1 of human primary somatosensory cortex: I. Microstructural organisation and interindividual variability. NeuroImage 10: 63-83, 1999. _x000D__x000D_S. Geyer, T. Schormann, H. Mohlberg, K. Zilles. Areas 3a, 3b, and 1 of human primary somatosensory cortex:  II. Spatial normalization to standard anatomical space. NeuroImage 11 (6): 684-696, 2000.

Area 4a
S. Geyer, A. Ledberg, A. Schleicher, S. Kinomura, T. Schormann, U.B¸rgel, T.Klingberg, J. Larsson, K.Zilles, P.E. Roland. Two different areas within the primary motor cortex of man, Nature 382: 805-807, 1996

Area TE 1.2
P. Morosan, J. Rademacher, A. Schleicher, K. Amunts, T. Schormann, K. Zilles. Human primary auditory cortex: Cytoarchitectonic subdivisions and mapping into a spatial reference system. NeuroImage 13: 684-701, 2001._x000D__x000D_J. Rademacher, P. Morosan, T. Schormann, A. Schleicher, C. Werner, H.J. Freund, K. Zilles. Probabilistic mapping and volume measurement of human primary auditory cortex. NeuroImage 13: 669-683, 2001.

Area Id4
https://doi.org/10.25493/K63G-89H

Area 5M (SPL)
F. Scheperjans, K. Hermann, S. B. Eickhoff, K. Amunts, A. Schleicher, K. Zilles. Observer-independent cytoarchitectonic mapping of the human superior parietal cortex. Cereb.Cortex 18 (4): 846-867, 2008. _x000D__x000D_F. Scheperjans, S. B. Eickhoff, L. Hˆmke, H. Mohlberg, K. Hermann, K. Amunts, K. Zilles. Probabilistic maps, morphometry, and variability of cytoarchitectonic areas in the human superior parietal cortex. Cereb.Cortex 18 (9): 2141-2157, 2008.

Area 4p
S. Geyer, A. Ledberg, A. Schleicher, S. Kinomura, T. Schormann, U.B¸rgel, T.Klingberg, J. Larsson, K.Zilles, P.E. Roland. Two different areas within the primary motor cortex of man, Nature 382: 805-807, 1996

Ventral Dentate Nucleus
S. Tellmann, S. Bludau, S.B. Eickhoff, H. Mohlberg, M. Minnerop, K. Amunts. Cytoarchitectonic mapping of the human brain cerebellar nuclei in stereotaxic space and delineation of their co-activation patterns. Frontiers in Neuroanatomy 9: 54, 2015.

Area FG1
J. Caspers, K. Zilles, S.B. Eickhoff, A. Schleicher, H. Mohlberg, K. Amunts. Cytoarchitectonical analysis and probabilistic mapping of two extrastriate areas of the human posterior fusiform gyrus. Brain Structure and Function 218: 511-526, 2013.

Area hOc3d [V3d]
M. Kujovic, K. Zilles, A. Malikovic, A.  Schleicher, H. Mohlberg, C. Rottschy, S.B. Eickhoff, K. Amunts. Cytoarchitectonic mapping of the human dorsal extrastriate cortex. Brain Struct. Funct. 218 (1): 157-172, 2013.

Area s24
